2022-06-10-17_32_57  Epoch: 0, Training Step: 0, Loss: 17.375476837158203, Learning Rate: 5e-05
2022-06-10-17_33_25  Epoch: 0, Training Step: 100, Loss: 2.4180526733398438, Learning Rate: 5e-05
2022-06-10-17_33_53  Epoch: 0, Training Step: 200, Loss: -3.204782009124756, Learning Rate: 5e-05
2022-06-10-17_34_20  Epoch: 0, Training Step: 300, Loss: -5.4085540771484375, Learning Rate: 5e-05
2022-06-10-17_34_47  Epoch: 0, Training Step: 400, Loss: -6.885143280029297, Learning Rate: 5e-05
2022-06-10-17_37_17  Epoch: 0, Training Step: 0, Loss: 17.49605941772461, Learning Rate: 5e-05
2022-06-10-17_37_44  Epoch: 0, Training Step: 100, Loss: 8.899879455566406, Learning Rate: 5e-05
2022-06-10-17_38_11  Epoch: 0, Training Step: 200, Loss: 5.376532554626465, Learning Rate: 5e-05
2022-06-10-17_38_38  Epoch: 0, Training Step: 300, Loss: 3.359516143798828, Learning Rate: 5e-05
2022-06-10-17_39_25  Epoch: 0, Training Step: 0, Loss: 17.49605941772461, Learning Rate: 5e-05
2022-06-10-17_39_52  Epoch: 0, Training Step: 100, Loss: 8.899879455566406, Learning Rate: 5e-05
2022-06-10-17_40_19  Epoch: 0, Training Step: 200, Loss: 5.376532554626465, Learning Rate: 5e-05
2022-06-10-17_40_46  Epoch: 0, Training Step: 300, Loss: 3.359516143798828, Learning Rate: 5e-05
2022-06-10-17_41_13  Epoch: 0, Training Step: 400, Loss: 2.517655849456787, Learning Rate: 5e-05
2022-06-10-17_41_41  Epoch: 0, Training Step: 500, Loss: 2.2725577354431152, Learning Rate: 5e-05
2022-06-10-17_42_08  Epoch: 0, Training Step: 600, Loss: 2.2789177894592285, Learning Rate: 5e-05
2022-06-10-17_42_35  Epoch: 0, Training Step: 700, Loss: 2.7416131496429443, Learning Rate: 5e-05
2022-06-10-17_43_02  Epoch: 0, Training Step: 800, Loss: 2.2239246368408203, Learning Rate: 5e-05
2022-06-10-17_43_30  Epoch: 0, Training Step: 900, Loss: 2.350379228591919, Learning Rate: 5e-05
2022-06-10-17_43_57  Epoch: 0, Training Step: 1000, Loss: 2.0456981658935547, Learning Rate: 5e-05
2022-06-10-17_44_24  Epoch: 0, Training Step: 1100, Loss: 2.147315502166748, Learning Rate: 5e-05
2022-06-10-17_44_52  Epoch: 0, Training Step: 1200, Loss: 2.2443723678588867, Learning Rate: 5e-05
2022-06-10-17_45_19  Epoch: 0, Training Step: 1300, Loss: 2.4370617866516113, Learning Rate: 5e-05
2022-06-10-17_45_46  Epoch: 0, Training Step: 1400, Loss: 1.8475733995437622, Learning Rate: 5e-05
2022-06-10-17_46_14  Epoch: 0, Training Step: 1500, Loss: 1.845304012298584, Learning Rate: 5e-05
2022-06-10-17_46_41  Epoch: 0, Training Step: 1600, Loss: 1.713587760925293, Learning Rate: 5e-05
